            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461356.833333333, A.D. 2026-Nov-12 08:00:00.0000,  6.452676453541119E-01,  7.535729763178340E-01,  5.838401442883663E-04, -1.324576972063724E-02,  1.130395402619741E-02,  2.313355655480670E-05,  5.729834963960517E-03,  9.920901701189631E-01, -2.892766547056592E-05,
2461357.833333333, A.D. 2026-Nov-13 08:00:00.0000,  6.319195227296799E-01,  7.647554790201128E-01,  6.060899436821861E-04, -1.344964861439886E-02,  1.106065462961790E-02,  2.138166093046680E-05,  5.729633207045238E-03,  9.920552369919773E-01, -4.070977404055524E-05,
2461358.833333333, A.D. 2026-Nov-14 08:00:00.0000,  6.183699857518827E-01,  7.756934779123406E-01,  6.266324738373019E-04, -1.364861351553891E-02,  1.081493330790601E-02,  1.971688196027272E-05,  5.729367176151870E-03,  9.920091751706654E-01, -5.121662195298241E-05,
2461359.833333333, A.D. 2026-Nov-15 08:00:00.0000,  6.046239082214532E-01,  7.863845166938108E-01,  6.455488720303323E-04, -1.384274003900701E-02,  1.056672596452760E-02,  1.812766594042251E-05,  5.729043728176187E-03,  9.919531718897263E-01, -6.061797233651814E-05,
2461360.833333333, A.D. 2026-Nov-16 08:00:00.0000,  5.906861012587918E-01,  7.968260877330603E-01,  6.629098294833747E-04, -1.403207921408248E-02,  1.031599291342059E-02,  1.660457392564884E-05,  5.728668838370341E-03,  9.918882617320000E-01, -6.905100558720062E-05,
2461361.833333333, A.D. 2026-Nov-17 08:00:00.0000,  5.765613344250843E-01,  8.070156534645341E-01,  6.787774344069919E-04, -1.421666405923691E-02,  1.006271317830290E-02,  1.513976591284440E-05,  5.728247763084709E-03,  9.918153548063412E-01, -7.662865164640830E-05,
2461362.833333333, A.D. 2026-Nov-18 08:00:00.0000,  5.622543511951870E-01,  8.169506629675236E-01,  6.932065737264785E-04, -1.439651442758334E-02,  9.806880471829711E-03,  1.372662679462834E-05,  5.727785161742746E-03,  9.917352578669122E-01, -8.344551613354949E-05,
2461363.833333333, A.D. 2026-Nov-19 08:00:00.0000,  5.477698801931031E-01,  8.266285652085907E-01,  7.062460173816820E-04, -1.457164070852582E-02,  9.548500514956036E-03,  1.235950212519989E-05,  5.727285189974867E-03,  9.916486904388150E-01, -8.958200274138684E-05,
2461364.833333333, A.D. 2026-Nov-20 08:00:00.0000,  5.331126431750538E-01,  8.360468202476797E-01,  7.179392904054716E-04, -1.474204664223779E-02,  9.287589658865520E-03,  1.103353988686418E-05,  5.726751573690923E-03,  9.915562976433427E-01, -9.510678113376286E-05,
2461365.833333333, A.D. 2026-Nov-21 08:00:00.0000,  5.182873606930689E-01,  8.452029097679612E-01,  7.283254481626028E-04, -1.490773106914811E-02,  9.024174923051293E-03,  9.744659802894724E-06,  5.726187674148446E-03,  9.914586614641955E-01, -1.000773840661849E-04,
